HUB — VISÃO EXECUTIVA DE CUSTO DA PLATAFORMA,,,,,,,,,
"Modelo inicial para decisão: o valor final deve ser calibrado com arquitetura técnica escolhida, volume de usuários/dados, integrações por cliente e cotações de equipe/fornecedores.",,,,,,,,,
CAPEX TOTAL,,,CAPEX CORE,,,OPEX BASE / MÊS,,TELAS MAPEADAS,
5607665.980280001,,,160722.26340799994,,,142000,,96,
Código,Módulo,CAPEX incremental,OPEX fully-loaded/mês,Telas,Observação,,,,
ED,Estratégia & Dados,970690.5868799998,23025.429062467992,11,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
COL,Colaboradores / Meu Time,581572.08256,17488.987774964113,11,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
CAN,Candidatos & Carreira,869328.5160000001,21583.233052829182,13,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
FOR,Fornecedores & Negócios,847878.9174800001,21278.044680834286,14,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
ACA,Acadêmico / Universidades,740959.2618400002,19756.774452461425,12,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
EVT,Eventos,939004.027472,22574.587548076463,14,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
COM,Comunidades,497510.32464,16292.943428366525,9,Core não é cobrado novamente; alocar implantação e integrações específicas à parte.,,,,
